,date,gold
245,1980-06-01,600.72
246,1980-07-01,643.27
247,1980-08-01,627.15
248,1980-09-01,673.63
249,1980-10-01,661.15
250,1980-11-01,624.77
251,1980-12-01,538.26
252,1981-01-01,557.39
253,1981-02-01,499.76
254,1981-03-01,499.11
255,1981-04-01,495.8
256,1981-05-01,479.7
257,1981-06-01,461.09
258,1981-07-01,409.07
259,1981-08-01,410.16
260,1981-09-01,443.75
261,1981-10-01,437.76
262,1981-11-01,413.37
263,1981-12-01,410.09
264,1982-01-01,384.14
265,1982-02-01,374.13
266,1982-03-01,330.25
267,1982-04-01,350.3
268,1982-05-01,333.71
269,1982-06-01,314.98
270,1982-07-01,338.97
271,1982-08-01,364.23
272,1982-09-01,437.31
273,1982-10-01,422.15
274,1982-11-01,414.89
275,1982-12-01,444.5
276,1983-01-01,481.29
277,1983-02-01,491.09
278,1983-03-01,419.7
279,1983-04-01,432.88
280,1983-05-01,438.01
281,1983-06-01,412.84
282,1983-07-01,402.91
283,1983-08-01,416.2
284,1983-09-01,411.8
285,1983-10-01,393.6
286,1983-11-01,381.7
287,1983-12-01,388.34
288,1984-01-01,370.89
289,1984-02-01,385.96
290,1984-03-01,394.26
291,1984-04-01,381.37
292,1984-05-01,377.4
293,1984-06-01,377.7
294,1984-07-01,347.71
295,1984-08-01,347.7
296,1984-09-01,340.2
297,1984-10-01,341.0
298,1984-11-01,342.0
299,1984-12-01,319.54
300,1985-01-01,302.79
301,1985-02-01,299.1
302,1985-03-01,313.5
303,1985-04-01,326.8
304,1985-05-01,316.0
305,1985-06-01,316.5
306,1985-07-01,317.2
307,1985-08-01,330.4
308,1985-09-01,323.35
309,1985-10-01,325.85
310,1985-11-01,321.5
311,1985-12-01,321.9
312,1986-01-01,347.48
313,1986-02-01,338.89
314,1986-03-01,345.7
315,1986-04-01,340.44
316,1986-05-01,342.4
317,1986-06-01,342.7
318,1986-07-01,348.34
319,1986-08-01,376.66
320,1986-09-01,417.73
321,1986-10-01,423.51
322,1986-11-01,397.56
323,1986-12-01,390.92
324,1987-01-01,408.26
